Company name, Email
Vietnam Electronics and Informatics Corporation (VEIC),veic@hn.vnn.vn
CMS Computer Company Limited,nphai@cms.com.vn
HANEL Joint Stock Company,hanel@hanel.com.vn|vinhnd@hanel.com.vn
Hoa Phat Refrigeration Co. Ltd.,dienlanh@hoaphat.com.vn|    tatuanquang@hoaphat.com.vn
Viettronics Joint Stock Company,tuongvnc@gmail.com
4P Company Limited,4pcompany@4p.com.vn|    hoangminhtri@4p.com.vn |    huyenlu@4p.com.vn
Post Equipment Corporation (POSTEF),postef@hn.vnn.vn|vanth@postef.com.vn |    Toannn@postef.com.vn
Viettronics Industry Joint Stock Company,bachtq@viettronics-industries.com
Da Nang Electronics and Informatics Joint Stock Company,vtrdanang@dng.vnn.vn| info@vietro.com.vn
Huetronics Joint Stock Company,huetronics@dng.vnn.vn|    ngt_son@huetronics.vn
Tien Dat Electronics Company,tiendat-audio@hcm.fpt.vn|thongnguyen55@yahoo.com
Tan Binh Electronics Joint Stock Company (VTB),vtb@saigonnet.vn|    duy@vtb.com.vn
Binh Hoa Electronics Joint Stock Company,binhhoaco@hcm.fpt.vn|    hquang@viettronics-binhhoa.com
Hai Huy Electric - Electronic Joint Stock Company,haihuycorp@haihuy.com|khachuy@haihuy.net
Dien Quang Lamp Joint Stock Company,info@dienquang.com|hungho@dienquang.com |    minhhoang@dienquang.com
An Loc Joint Stock Company,phuongalc@hcm.vnn.vn
Sao Mai Electronics One Member Company Limited,sales@dientusaomai.com.vn|    binhnguyen919@gmail.com
Vietnam Computer and Communication Joint Stock Company (VIETCOM),vifcom@vnn.vn
Giang Vo Electronics Joint Stock Company (GVECO),vidistar552@gmail.com|gveco@fpt.vn
Vinh Trinh Company Limited,vinhtrinh@fpt.vn
Vinh Xuan Computer Co. Ltd.,spc@vinhxuan.vn|support@vinhxuan.vn|    sales@vinhxuan.vn
Broadcast Broadcasting Development Joint Stock Company (BDC),sales@bdc.vn
Viettronics Dong Da Joint Stock Company,viettronics@vnn.vn |vnc@viettronics.com.vn
Thang Loi Vietnam Company Limited,linh@hn.vnn.vn
Hai Anh Informatics Technology Co. Ltd, thanhdc@fpt.vn
IDC Group Joint Stock Company,sales@idc.com.vn |    welcome@idc.com.vn
Minh Viet Investment and Technology Joint Stock Company,intecom@minhviet.com.vn|    info@minhviet.com.vn
Misa Joint Stock Company (MISA JSC),Sales@misa.com.vn
Applied Science and Technology Application Joint Stock Company (MITEC),headoffice@mitec.com.vn
Vietnam Maritime Electronics Information Company Limited (VISHIPEL),contact@vishipel.com.vn|    truyenthong@vishipel.com.vn
Hai Phong Electronics Joint Stock Company (HAPELEC),hapelechp@vnn.vn
Maritime Informatics and Technology Joint Stock Company (MITECO),miteco@miteco.com.vn
Nghe An Telecommunication - Electronics Company (NALECO),naleco@hn.vnn.vn
Military Telecommunications Corporation (VIETTEL),vbdhn@viettel.com.vn|    gopy@viettel.com.vn
Tan Thanh Company Limited,tran_huu@hn.vnn.vn
SILICOM Technology Joint Stock Company,gd.hn@silicom.com.vn
FPT Technology Product Company Limited,fpt_trading@fpt.com.vn
Shipbuilding Technology Company (STC),stc.company@hn.vnn.vn
Viettronics Technology College,vanphong@caodangvtc.edu.vn
ASIA BOLT Company Limited,asiakjh@paran.com|    asiabolt@asiabolt.com.vn
Murata Electronics Vietnam Co. Ltd.,mev_sales@murata.com.sg
Viettronics Medda Company Limited,medda@medda.com.vn
Hung Dung Company Limited,ntd@hungdunghd.com.vn|hcns@hungdunghd.com.vn
Giang Vo Electronics Technology Joint Stock Company,huongdl@gve.vn|    hangnt@gve.vn
Hanel Production and Export Import Joint Stock Company,info@hanelpt.com.vn|    tranthutrang@hanelpt.com.vn
Tam Phat Electrical Mechanical and Automation Joint Stock Company,info@tamphatjsc.com|    lehientuan1977@gmail.com
An Phat Holdings Joint Stock Company,anphat@anphatholdings.com|    cuongdx@anphatholdings.com|    tungbh@anphatholdings.com
Company Limited Information M1,NaN
Fujitsu Vietnam Company Limited - FVL,sales@fujitsu.com.vn
TQT Electronic Private Enterprise,tqt@dng.vnn.vn
Thu Thanh Enterprise,NaN
Le Quang Chau Trading and Service Co. Ltd,NaN
TMDV Anh Sang Company Limited,NaN
Viet Tuan Company Limited,NaN
Tam Thanh Company Limited,NaN
Phuc Hue Company Limited,NaN
Shop Electronics Refrigeration Radio Television Tan,NaN
Viet Hai Private Enterprise,NaN
Hai Phong Television Radio Shop,NaN
Nguyen Phuoc Refrigeration Electrical Appliance Store,NaN
Tuan Sy Company Limited,NaN
Khai Tri Technology Trading Joint Stock Company, nkhaitri@hcm.vnn.vn
Bien Hoa Electronics Joint Stock Company,info@belco.vn| belcohcm@hcm.vnn.vn
GENERATION SYSTEM GEN - GENSYS,info@gensys.com.vn
Khang Thinh Joint Stock Company,ngovan@hcm.fpt.vn|    kt@hcm.vnn.vn
VIETTRONICS THUY DUC JOINT STOCK COMPANY,nghiemxuanvan@vtd.net.vn
Viet Electronics Service Joint Stock Company (VESCO JSC),vesco@hcm.vnn.vn
Phu Tho Hoa Electronic Mechanical Joint Stock Company (VIEMCO),phuthohoa@hcm.fpt.vn
Viet Electronic Import and Export Joint Stock Company (VIETTRONIMEX),viettronimex@hcm.vnn.vn|    minhtuan@viettronimex.com.vn|    anhdungvtr@viettronimex.com.vn
ROBO Technology Development Investment Joint Stock Company,robocorp@robo.com.vn
TIE Joint Stock Company,tie@saigonnet.vn
T&H Technology Consultant-Trading Co. Ltd,into@tnh.com.vn
Mekong Green Joint Stock Company,tuanvuanh@mekonggreen.com
International MBA Joint Stock Company,nbatu@hcm.vnn.vn|sales@mba.com.vn
Vietnam Computer Joint Stock Company 2 (CMT),cmtxerox@hcm.vnn.vn
Digital World Joint Stock Company,info@dgw.com.vn
An Nhu Son Company Limited,ansco@hcm.vnn.vn
Minh Huy Automation and Informatics Technology Co. Ltd,NaN
Marine Equipment Joint Stock Company (MECOM),hcm@mecom.com.vn
Nguyen Hoang Anh Trading and Service Co. Ltd.,nguyenanhtuan@hcm.vnn.vn |    info@nhacomputer.com
S.V.C Trading Joint Stock Company,svcltd@hcm.vnn.vn
Thanh Nhan Informatics Co. Ltd,thanhnhan@tnc.com.vn
Phong Vu Computer Shop, lehoangtuyen@vnn.vn
Vien Son Informatics Technology Company Limited,ms-info@microstar.com.vn
Vien Tan Company Limited,info@nextcom.vn
Trieu Gia Audio Technology Investment Company Limited,info@soundmax.com.vn
Sieu Thanh Joint Stock Company,sieuthanh@sieuthanhricoh.vn|    sieuthanh@sieuthanhricoh.com.vn
Panasonic AVC Vietnam Company,mev.ga@gmail.vnn.vn
TOSHIBA Consumer Products Vietnam Company,NaN
JVC Vietnam Company Limited,NaN
SONG NHAC TRADING AND SERVICE ONE MEMBER CO. LTD,songnhac@songnhacgroup.com
ITO Vietnam Company Limited,NaN
Anh Phuong Informatics Service and Trading Co. Ltd,aptrading@hcm.vnn.vn
Hoan Long Computer Joint Stock Company,lienhe@hoanlong.com.vn
Chi Khoa Trading & Service Company Limited,chikhoaninhthuan@nikochi.com
Interlight Vietnam Company Limited,locnp@interlight.vn
Integrated Circuit Design Research and Training Center (ICDREC),info@icdrec.edu.vn|    hoang.ngoduc@icdrec.edu.vn|    huong.vuthisong@icdrec.edu.vn
Phuong Nam School Distribution Joint Stock Company,hoangkhanh_phamta@edstachem.com
Ariatec Company Limited,tin.nth@ariatec.vn
Daiichi Jitsugyo Vietnam Co. Ltd.,trang@djk-global.com
Wacker Chemicals (South Asia) PTE LIMITED Representative Office in Ho Chi Minh City.,info.vietnam@wacker.com|ha.nguyen@wacker.com|    Duc.Huynh@wacker.com
T.C Vietnam Electronics Solution Company Limited,sale@tcelectronics.vn|    qgiangtc@gmail.com|sale@tcelectronics.vn
TUV RHEINLAND Vietnam Company Limited,info@vn.tuv.com|daisy.pham@tuv.com
